PUNTO DE INFORMACIÓN,MES,AÑO,PAIS DE PROCEDENCIA,CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO 1,CIUDAD DE DESTINO 2,CIUDAD DE DESTINO 3,CIUDAD DE DESTINO 4,CIUDAD DE DESTINO 5,SEXO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA EN DIAS,TIPO ALOJAMIENTO,TIPO TRANSPORTE,PRESUPUESTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Puente de Boyacá,4,"2,023",Colombiano,Meta,Villa de Leyva,,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Tunja,4,"2,023",Colombiano,Casanare,Tunja,Sogamoso,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Cundinamarca,Ventaquemada,,,,,Masculino,Turismo Cultural.,3.0,Hotel,Bus,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Antioquía,Villa de Leyva,,,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Monumento Pantano de Vargas,4,"2,023",Colombiano,Valle Del Cauca,Duitama,Iza,Paipa,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,8,4.0
Monumento Pantano de Vargas,4,"2,023",Colombiano,Bogotá,Monguí,Sogamoso,Paipa,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,8,4.0
Monumento Pantano de Vargas,4,"2,023",Colombiano,Valle Del Cauca,Monguí,Nobsa,Paipa,Ráquira,Sáchica,Masculino,Turismo Cultural.,2.0,Posada turística,Bus,Entre $ 600.000 a $ 1.000.000 COP.,9,35.0
Puente de Boyacá,4,"2,023",Colombiano,Antioquía,Chiquinquirá,Iza,Paipa,Sáchica,Sogamoso,Masculino,Turismo Cultural.,3.0,Casa/cabaña de vacaciones arrendada.,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Puente de Boyacá,4,"2,023",Colombiano,Santander,Moniquirá,Tunja,Villa de Leyva,,,Masculino,Turismo Cultural.,2.0,Hotel,Alquiler de vehículo.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Tunja,4,"2,023",Colombiano,Norte De Santander,Tunja,Villa de Leyva,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
